timestamps,playback_time,rounded_playback_time,quat_x,quat_y,quat_z,deg_roll,deg_pitch,deg_yaw,rad_roll,rad_pitch,rad_yaw,deg_inclination,deg_azimuth,rad_inclination,rad_azimuth,subtitle
1620644295.386,149.94999980926514,150.0,0.3336534798145294,-0.1732999086380005,0.8053523898124695,2.1317615509033203,315.87164306640625,119.84894561767578,0.03720625793068364,5.513000185193107,2.0917587060720715,45.87164306640627,240.15105438232422,0.8006112048084173,4.191426601107515,<Info>
1620644295.888,150.45199990272522,150.5,0.33436301350593567,-0.18428988754749298,0.822902262210846,358.2289123535156,315.1386413574219,126.56458282470703,6.252273996407037,5.500206891948584,2.208968686704203,45.13864135742187,233.43541717529294,0.7878179115638941,4.074216620475383,<Info>
1620644296.39,150.9539999961853,151.0,0.36890801787376404,-0.22225406765937805,0.8191500306129456,352.338134765625,309.396728515625,133.9895782470703,6.149460531995656,5.399991607496684,2.3385593037699492,39.39672851562499,226.0104217529297,0.6876026271119944,3.944626003409637,<Info>
1620644296.878,151.44199991226196,151.5,0.28792938590049744,-0.17912894487380981,0.8450675010681152,355.1961364746094,320.5999755859375,129.58978271484375,6.199342071845058,5.595525155788046,2.2617683853180592,50.59997558593749,230.41021728515625,0.8831361754033562,4.021416921861527,<Info>
1620644297.38,151.94400000572205,152.0,0.15033504366874695,-0.09597354382276535,0.8725751638412476,358.11865234375,339.5343322753906,125.28597259521484,6.250349596203345,5.9259920217660165,2.186652728349884,69.53433227539062,234.71402740478516,1.2136030413813268,4.096532578829702,<Info>
1620644297.881,152.4449999332428,152.5,0.09896030277013779,-0.05656714737415314,0.8230420351028442,1.0007177591323853,346.947265625,111.76348876953125,0.017465819780039676,6.055372115947592,1.9506408625440264,76.94726562500001,248.23651123046875,1.3429831355629025,4.33254444463556,<Info>
1620644298.383,152.9469997882843,153.0,0.07249581813812256,-0.03376633673906326,0.7633978128433228,2.400177001953125,351.142822265625,99.77958679199219,0.0418909913147284,6.128598393280411,1.7414823157997101,81.14282226562501,260.2204132080078,1.4162094128957214,4.541702991379876,<Info>
1620644298.884,153.44799995422363,153.5,0.052214816212654114,-0.04166245833039284,0.7427135109901428,0.44466087222099304,352.3525085449219,96.18136596679688,0.007760796275046119,6.149711401770341,1.6786815151862244,82.3525085449219,263.8186340332031,1.4373224213856517,4.604503791993362,<Info>
1620644299.385,153.94899988174438,154.0,0.06679743528366089,-0.09089482575654984,0.6460391879081726,359.0247802734375,347.0826721191406,81.22208404541016,6.266164512020672,6.057735405098929,1.4175927919239628,77.08267211914065,278.77791595458984,1.345346424714239,4.865592515255623,<Info>
1620644299.886,154.44999980926514,154.5,0.024425994604825974,-0.017155809327960014,0.6240714192390442,0.9602130055427551,356.7164306640625,77.24142456054688,0.016758878467191637,6.225876211049953,1.348117177512357,86.7164306640625,282.7585754394531,1.5134872306652634,4.935068129667229,<Info>
1620644300.388,154.95199990272522,155.0,0.01471071969717741,0.000637636985629797,0.6519893407821655,1.3259004354476929,358.9562683105469,81.38212585449219,0.023141328152188775,6.264968752691226,1.4203860484332924,88.95626831054688,278.6178741455078,1.5525797723065367,4.862799258746294,<Info>
1620644300.873,155.43699979782104,155.5,0.020548637956380844,0.004949848633259535,0.6587666273117065,2.1454274654388428,358.87530517578125,82.41311645507812,0.03744477313462466,6.263555679416831,1.4383802289706307,88.87530517578126,277.5868835449219,1.5511666990321409,4.844805078208956,<Info>
1620644301.388,155.95199990272522,156.0,0.023338761180639267,0.0031538333278149366,0.6587420701980591,2.2505786418914795,358.5098571777344,82.40657806396484,0.0392800073760687,6.257177408606091,1.4382661125179208,88.50985717773439,277.59342193603516,1.544788428221401,4.844919194661665,<Info>
1620644301.876,156.43999981880188,156.5,0.024098290130496025,0.003270363202318549,0.6595714092254639,2.3231966495513916,358.4599609375,82.53292083740234,0.04054743070597263,6.256306554929635,1.4404712099005064,88.45996093750003,277.46707916259766,1.5439175745449454,4.84271409727908,<Info>
1620644302.378,156.94199991226196,157.0,0.02129947952926159,0.0020008899737149477,0.6608296632766724,1.9836609363555908,358.5589599609375,82.7245101928711,0.03462141458259875,6.258034413844878,1.4438150749652099,88.5589599609375,277.2754898071289,1.5456454334601881,4.839370232214376,<Info>
1620644302.88,157.44400000572205,157.5,0.02057061530649662,0.002023199340328574,0.6618417501449585,1.9207663536071777,358.6134948730469,82.87935638427734,0.03352369703197092,6.258986227618473,1.4465176508394224,88.6134948730469,277.12064361572266,1.546597247233783,4.836667656340164,<Info>
1620644303.38,157.94400000572205,158.0,0.02028702013194561,0.0015664742095395923,0.6612801551818848,1.862811803817749,358.59716796875,82.79327392578125,0.0325121993216344,6.258701269381834,1.4450152285104543,88.59716796874999,277.2067260742187,1.546312288997144,4.8381700786691315,<Scene>
1620644303.883,158.4469997882843,158.5,0.027179516851902008,-0.01007150486111641,0.653856098651886,1.602446436882019,357.0896911621094,81.66686248779297,0.02796796641044273,6.232390835708505,1.4253556401854348,87.08969116210936,278.33313751220703,1.520001855323815,4.857829666994151,<Scene>
1620644304.383,158.9469997882843,159.0,0.09960861504077911,-0.11360655725002289,0.6662148833274841,359.64666748046875,342.62322998046875,84.79961395263672,6.2770184913593985,5.979903456976927,1.4800324678936336,72.62322998046876,275.2003860473633,1.267514476592237,4.803152839285953,<Scene>
1620644304.884,159.44799995422363,159.5,0.10765350610017776,-0.11934290826320648,0.6737192273139954,359.66729736328125,341.505126953125,86.14742279052734,6.277378550738778,5.960388877773262,1.5035561698023034,71.50512695312501,273.85257720947266,1.2479998973885724,4.779629137377283,<Scene>
1620644305.385,159.94899988174438,160.0,0.10361480712890625,-0.11153241991996765,0.6670023202896118,0.14151597023010254,342.48760986328125,84.8660659790039,0.0024699196246695666,5.9775364394000645,1.481192274548363,72.48760986328128,275.1339340209961,1.2651474590153748,4.8019930326312235,<Scene>
1620644305.886,160.44999980926514,160.5,0.09612276405096054,-0.10994461923837662,0.6600541472434998,359.7919921875,343.20635986328125,83.7344970703125,6.27955488598159,5.990080993398774,1.461442671378499,73.20635986328128,276.2655029296875,1.277692013014084,4.821742635801087,<Scene>
